Offense,family_violence,occurred_date,location_type,Zip,Latitude,Longitude
FAMILY DISTURBANCE,N,2021-06-20,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78745,30.19818661,-97.76915525
BURGLARY OF VEHICLE,N,2020-04-03,PARKING /DROP LOT/ GARAGE,78759,30.41296623,-97.71999667
THEFT,N,2021-10-14,OTHER / UNKNOWN,78613,30.47734224,-97.80298245
THEFT,N,2021-10-14,SPECIALTY  STORE,78759,30.39031042,-97.74041376
CRIMINAL MISCHIEF,N,2021-03-16,PARK / PLAYGROUND,78724,30.32416149,-97.6771224
THEFT,N,2019-08-15,SCHOOL - ELEMENTARY / SECONDARY,78724,30.32416149,-97.6771224
BURGLARY OF VEHICLE,N,2019-10-15,SCHOOL - ELEMENTARY / SECONDARY,78724,30.32416149,-97.6771224
FAMILY DISTURBANCE,N,2021-09-21,RESIDENCE / HOME,78744,30.18854871,-97.7645862
CRIMINAL MISCHIEF,N,2020-11-25,HOTEL / MOTEL / ETC.,78741,30.24481559,-97.72408165
THEFT,N,2020-12-01,HOTEL / MOTEL / ETC.,78724,30.32160086,-97.69844669
BURGLARY OF VEHICLE,N,2019-02-14,RESIDENCE / HOME,78724,30.32160086,-97.69844669
FAMILY DISTURBANCE,N,2020-11-21,RESIDENCE / HOME,78759,30.40363228,-97.7481402
BURGLARY OF VEHICLE,N,2021-10-13,HOTEL / MOTEL / ETC.,78724,30.32160086,-97.69844669
BURGLARY OF VEHICLE,N,2019-01-30,PARKING /DROP LOT/ GARAGE,78723,30.27360513,-97.73133302
FAMILY DISTURBANCE,N,2021-10-02,RESIDENCE / HOME,78748,30.1403564,-97.80051916
BURGLARY OF VEHICLE,N,2020-11-06,PARKING /DROP LOT/ GARAGE,78758,30.38146278,-97.71348762
CRIMINAL MISCHIEF,N,2021-11-28,OTHER / UNKNOWN,78744,30.19723683,-97.70844003
BURGLARY OF VEHICLE,n,2021-03-16,COMMERCIAL / OFFICE BUILDING,78751,30.30354466,-97.73726456
CRIMINAL MISCHIEF,N,2021-07-24,SPECIALTY  STORE,78744,30.16294797,-97.78697574
CRIMINAL MISCHIEF,N,2020-11-22,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78723,30.27112118,-97.73226184
FAMILY DISTURBANCE,N,2020-11-15,RESIDENCE / HOME,78729,30.43815984,-97.77599358
THEFT,N,2019-08-22,RESIDENCE / HOME,78725,30.23884545,-97.57666007
CRIMINAL MISCHIEF,N,2021-12-27,COMMERCIAL / OFFICE BUILDING,78724,30.32144583,-97.69692601
FAMILY DISTURBANCE,N,2021-01-11,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78721,30.27344188,-97.66878358
THEFT,N,2021-06-23,GOVERNMENT / PUBLIC BUILDING,78758,30.37441318,-97.72520947
FAMILY DISTURBANCE,N,2020-04-24,RESIDENCE / HOME,78744,30.17654144,-97.77877028
THEFT,N,2019-09-07,RESIDENCE / HOME,78722,30.2941989,-97.71697195
CRIMINAL MISCHIEF,N,2019-09-22,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78745,30.19511483,-97.79193142
BURGLARY OF VEHICLE,N,2019-08-07,RESIDENCE / HOME,78754,30.37429846,-97.65096125
THEFT,N,2019-05-19,CONSTRUCTION SITE,78744,30.19723683,-97.70844003
BURGLARY OF VEHICLE,N,2019-09-03,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78758,30.36926216,-97.69510501
THEFT,N,2021-12-07,SPECIALTY  STORE,78723,30.30178349,-97.69866762
CRIMINAL MISCHIEF,N,2020-01-15,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78748,30.15364496,-97.83377398
CRIMINAL MISCHIEF,N,2021-10-02,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78723,30.27112118,-97.73226184
THEFT,N,2020-01-01,RESIDENCE / HOME,78748,30.15816607,-97.83601171
THEFT,n,2021-01-01,SPECIALTY  STORE,78704,30.24619827,-97.75610883
THEFT,N,2020-01-01,COMMERCIAL / OFFICE BUILDING,78723,30.31580075,-97.70570296
FAMILY DISTURBANCE,N,2019-09-17,RESIDENCE / HOME,78617,30.17423044,-97.61294451
FAMILY DISTURBANCE,N,2019-09-10,RESIDENCE / HOME,78744,30.19705548,-97.69693575
CRIMINAL MISCHIEF,N,2020-06-08,HOTEL / MOTEL / ETC.,78753,30.34430294,-97.69766805
FAMILY DISTURBANCE,N,2019-09-28,RESIDENCE / HOME,78744,30.18739938,-97.76364167
FAMILY DISTURBANCE,N,2019-09-03,RESIDENCE / HOME,78617,30.1705131,-97.61701541
BURGLARY OF VEHICLE,N,2019-09-26,PARKING /DROP LOT/ GARAGE,78759,30.43311021,-97.76717392
CRIMINAL MISCHIEF,N,2019-07-09,RESIDENCE / HOME,78723,30.31663094,-97.66269304
FAMILY DISTURBANCE,N,2019-09-09,RESIDENCE / HOME,78759,30.40728402,-97.74960661
FAMILY DISTURBANCE,N,2019-09-14,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78727,30.4175429,-97.68471697
FAMILY DISTURBANCE,N,2020-11-10,RESIDENCE / HOME,78753,30.39605838,-97.66739371
THEFT,N,2021-09-20,RESIDENCE / HOME,78747,30.14746632,-97.79332658
BURGLARY OF VEHICLE,N,2021-04-09,RESIDENCE / HOME,78758,30.36386794,-97.71318215
THEFT,N,2021-07-24,RESIDENCE / HOME,78750,30.37744203,-97.80045864
THEFT,n,2020-06-09,RESIDENCE / HOME,78723,30.30924337,-97.68562899
CRIMINAL MISCHIEF,n,2021-02-01,RESIDENCE / HOME,78748,30.15884661,-97.82622729
CRIMINAL MISCHIEF,N,2020-04-15,OTHER / UNKNOWN,78744,30.19723683,-97.70844003
FAMILY DISTURBANCE,N,2021-09-10,RESIDENCE / HOME,78753,30.39566744,-97.67214463
FAMILY DISTURBANCE,N,2019-12-13,RESIDENCE / HOME,78751,30.30827465,-97.7282871
FAMILY DISTURBANCE,N,2019-08-15,RESIDENCE / HOME,78702,30.25767099,-97.71896927
THEFT,N,2021-02-18,GROCERY / SUPERMARKET,78717,30.47599917,-97.79652419
THEFT,N,2019-05-01,COMMERCIAL / OFFICE BUILDING,78754,30.3351147,-97.66287894
THEFT,N,2019-11-01,CONVENIENCE STORE,78702,30.26577748,-97.73403439
THEFT,N,2021-06-15,COMMERCIAL / OFFICE BUILDING,78722,30.29622061,-97.71765563
THEFT,N,2021-10-11,COMMERCIAL / OFFICE BUILDING,78753,30.37637243,-97.67780325
THEFT,N,2020-06-15,RESIDENCE / HOME,78653,30.34126447,-97.61004159
THEFT,N,2020-11-11,CONVENIENCE STORE,78749,30.23070486,-97.82042821
THEFT,N,2020-12-21,CONSTRUCTION SITE,78704,30.23113653,-97.78147219
THEFT,N,2020-07-04,RESTAURANT,78701,30.26829207,-97.75162174
CRIMINAL MISCHIEF,N,2020-06-22,RESIDENCE / HOME,78753,30.35644037,-97.68685154
FAMILY DISTURBANCE,N,2020-10-29,RESIDENCE / HOME,78745,30.18560098,-97.77643184
THEFT,N,2021-10-24,RESIDENCE / HOME,78729,30.45842678,-97.76536944
THEFT,N,2019-07-19,HOTEL / MOTEL / ETC.,78745,30.22880661,-97.78947077
FAMILY DISTURBANCE,N,2021-02-02,RESIDENCE / HOME,78617,30.17078883,-97.61964129
THEFT,N,2020-05-28,AIR / BUS / TRAIN TERMINAL,78719,30.20200809,-97.6668813
FAMILY DISTURBANCE,N,2020-10-19,RESIDENCE / HOME,78745,30.19084407,-97.77786025
FAMILY DISTURBANCE,N,2020-11-27,RESIDENCE / HOME,78741,30.22668835,-97.72571472
FAMILY DISTURBANCE,N,2021-07-17,BAR / NIGHTCLUB,78723,30.30965417,-97.66630649
THEFT,N,2021-08-07,RESIDENCE / HOME,78754,30.37224488,-97.66128614
FAMILY DISTURBANCE,N,2020-11-28,RESIDENCE / HOME,78617,30.17309814,-97.61001031
THEFT,N,2021-01-03,AIR / BUS / TRAIN TERMINAL,78719,30.20200809,-97.6668813
FAMILY DISTURBANCE,N,2020-10-05,RESIDENCE / HOME,78754,30.32994363,-97.64208015
THEFT,N,2021-02-02,OTHER / UNKNOWN,78719,30.20200809,-97.6668813
THEFT,N,2021-07-02,DEPARTMENT / DISCOUNT STORE,78742,30.24554936,-97.68026683
CRIMINAL MISCHIEF,N,2021-08-04,PARKING /DROP LOT/ GARAGE,78753,30.38967564,-97.6727383
CRIMINAL MISCHIEF,N,2021-11-04,FIELD / WOODS,78731,30.33920792,-97.77887033
THEFT,N,2021-06-29,BANK / SAVINGS & LOAN,78704,30.25614721,-97.76561058
